序列号,价格,成交量,商品名称,商品图片网址,商品详情网址
89,368.00,700+人付款,坏品味西部  新中式连衣裙弹力印花长款吊带连衣裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/380940664/O1CN01a8eEpw1Gm9jzOPh8f_!!380940664.jpg,https://item.taobao.com/item.htm?id=673839975397&ns=1&abbucket=0#detail
90,248.00,600+人付款,敬酒服2023新款新娘酒红色夏季平时可穿纱袖订婚连衣裙出阁宴礼服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3489436739/O1CN01o4ETzo1zeVtFlKdBi_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=694499757500&ns=1&abbucket=0
91,79.90,700+人付款,复古牛仔半身裙女春秋新款高腰夏季设计感显瘦a字中长包臀鱼尾裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2970503593/O1CN01HpoQmQ1cPdsmEUEdM_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=705830348535&ns=1&abbucket=0
92,138.00,700+人付款,2023年新款高腰牛仔半身裙女拼接设计感中长款显瘦A字鱼尾裙春夏,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2206478531324/O1CN01uce3gC1LeRDNa5PRJ_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=710177050863&ns=1&abbucket=0
93,69.00,700+人付款,高腰复古鱼尾裙女夏新款大码梨形身材显瘦中长款牛仔a字半身裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3686467019/O1CN010plDQV21ikmAyrtma_!!3686467019.jpg,https://item.taobao.com/item.htm?id=692092327648&ns=1&abbucket=0#detail
94,89.00,700+人付款,牛仔鱼尾裙2023新款胖mm大码显瘦遮垮高腰梨形身材半身裙子女夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2209436616974/O1CN01ypBeqj21O8ykSCorZ_!!2209436616974.jpg,https://item.taobao.com/item.htm?id=705476235063&ns=1&abbucket=0#detail
95,289.00,700+人付款,鹭青一【琼华】醋酸半身裙女夏季新款复古高级感修身显瘦鱼尾裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3321194214/O1CN01mxJ1MI1h03qtgVUEY_!!3321194214.jpg,https://item.taobao.com/item.htm?id=712001377788&ns=1&abbucket=0#detail
96,108.00,600+人付款,波点鱼尾裙半身裙女夏季高腰开叉包臀裙中长款显瘦印花A字一步裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1778614207/O1CN010bkV5w1gwr06JeBAs_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=673870679289&ns=1&abbucket=0
97,59.90,700+人付款,法式高腰显瘦半身裙短裙女2023春季新款小个子百褶包臀a字鱼尾裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2089135099/O1CN01VbgSQ61nXOEnpdGAo_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=652822143988&ns=1&abbucket=0
98,127.50,600+人付款,ZNZW复古中长款牛仔裙女春夏2023新款鱼尾半身长裙a字显瘦包臀裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2209156023156/O1CN01XvMkPX1ZBUmKYIvqR_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=693139430733&ns=1&abbucket=0
